Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Login,40,1581,528,3024,569.18,0.00%,11.5,439.15,38977.0
Get All projects,40,809,689,1732,206.31,0.00%,12.8,18.65,1496.6
HTTP Request Delete Projects,112,283,230,1295,149.76,0.00%,23.6,16.79,729.4
Create Projects A,40,319,232,797,172.48,0.00%,9.9,7.02,729.3
Create Projects B,40,257,233,848,94.69,0.00%,9.9,7.03,729.4
Update Project B,40,346,231,1471,259.58,0.00%,8.7,6.24,732.4
Create Item X,40,310,235,807,159.36,0.00%,8.7,7.25,854.0
Update Items with Priority equals 1,40,369,234,951,221.04,0.00%,8.7,7.29,853.8
Create Item Y,40,359,236,826,200.31,0.00%,8.7,7.26,854.0
Update Items Y with due date,40,381,236,734,198.07,0.00%,8.6,7.56,902.0
Create Item Z,40,348,235,770,189.62,0.00%,9.5,7.95,854.0
Update Items Z with other project,40,278,235,687,97.19,0.00%,8.6,7.18,854.0
Get All Items of a project,40,295,232,736,142.82,0.00%,8.6,11.58,1374.0
Empty  Recycle Bin,40,256,239,330,15.32,0.00%,8.6,3.88,461.0
HTTP Request Delete,70,370,232,901,212.04,0.00%,14.5,12.06,854.1
Get All Recycle Bin,40,411,229,873,230.70,0.00%,8.3,14.84,1841.8
TOTAL,742,418,229,3024,372.46,0.00%,67.0,194.27,2967.7
