Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Login,10,1228,750,1926,378.62,0.00%,4.1,156.58,38977.0
Get All projects,10,786,683,1352,189.73,0.00%,5.3,8.16,1571.3
HTTP Request Delete Projects,30,277,236,687,107.93,0.00%,12.7,9.02,729.8
Create Projects A,10,247,236,264,9.66,0.00%,6.1,4.38,729.2
Create Projects B,10,502,233,1679,521.42,0.00%,5.0,3.54,729.2
Update Project B,10,423,234,740,228.37,0.00%,5.0,3.56,732.2
Create Item X,10,287,233,701,137.93,0.00%,5.0,4.13,854.0
Update Items with Priority equals 1,10,378,232,713,210.67,0.00%,4.1,3.43,854.0
Create Item Y,10,288,232,724,145.26,0.00%,4.1,3.41,854.0
Update Items Y with due date,10,338,235,732,189.08,0.00%,4.0,3.54,902.0
Create Item Z,10,241,237,247,3.09,0.00%,4.8,4.04,854.0
Update Items Z with other project,10,245,237,253,5.53,0.00%,4.8,4.03,854.0
Get All Items of a project,10,383,233,732,218.41,0.00%,4.8,6.85,1448.0
Empty  Recycle Bin,10,251,245,260,5.68,0.00%,4.8,2.17,461.0
HTTP Request Delete,20,359,233,720,201.87,0.00%,7.2,6.13,877.0
Get All Recycle Bin,10,337,229,728,193.72,0.00%,4.1,6.20,1554.0
TOTAL,190,394,229,1926,311.85,0.00%,20.6,58.55,2911.4
